clean_text,label
soal jalan jatibaru polisi   gertak gubernur emangny polisi  ikut pmbhasan jangan berpolitik pengaturan wilayah hak gubernur persoalan tn abang soal turun temurun pelik perlu kesabaran,anger
sesama cewek lo kayaknya harusnya  lebih rasakan lah   sibuk jaga diri rasakan sakitnya haid  paniknya pulang malam sendirian bagaimana orang asing wajarlah banyak korban  takut curhat bukan dibela malah dihujat,anger
 gudeg mbarek bu hj  foto  google sengaja biar teman teman  membayangkannya berbagi  indah,happy
jalan jatibaru bagian  wilayah tn abang pengaturan wilayah tinggi jawab  wwnang gub tng abng soal rumit sejak gubernur trdahulu skrg sedng dibenahi agr bermanfaat semua pihak mohon  punya otak berpikirlah  wajar  otaknya butek  kamu,anger
sharing pengalaman aja kemarin jam batalin tiket  stasiun pasar senen lancar antrean  terlalu rame menitan  beres semua mungkin  dicoba twips  jam jam sebegitu cc,happy
 sekian banyak thread  aku baca thread  paling aneh sih  penulisan sumpah aneh bgt mau memaki lebay  segala bikin thread hadeh aku   jago nulis  tulisan aku  seberantakan thread mbaknya,anger
sharing sama teman  memang  bgt   kamu merasa masalah kamu berat banget ternyata teman  sendiri punya masalah lebih berat   malah masalah    apa nya dibanding masalah ,happy
orang  kalau pakai ponco  buat jas hujan nah  pakai buat kasur  tadi gara saking  punya apa mamak bilang    awal pernikan   mengalami bulan madu kayak sekarang orang tidur nya  pakai ponco gimane mau bulan madu,sadness
contoh   gemar menyudutkan teriak paling toleran  gemar menuduh gemar men judge seseorang berdasarkan versi  cukup tau ,anger
pulang  h lebaran dilema sekali    melakukan apa  rumah  lebaran buka puasa bareng cuma hari sama keluarga   sahur,sadness
betul min rakyat indonesia sekarang harapan nya tinggal sama tentara nasional indonesia  kalau   lihat   jelas penyerangan  kantor media katanya   unsur pidananya  jelas menghina presiden indonesia  sah cuma lucu lucu an  tni,anger
kalaupun fansite ngejual hasil jepretan   uang nya lari  idol  belikan  hadiah  sebagainya kan kpopers baru  fansite    jaman kamera  sebening skrg,anger
sangat bersyukur  mendoakan kakeknya bung karno bersama anak anak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomor untukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur h,happy
sulit menerima kenyataan memang   sebagian  menganggap   berinteraksi  satu orang  satu golongan tertentu  langsung mengatakan golongan tertentu sesaat   mempelajari  utuh  mengklaim diri  paling benar,sadness
samanye  maling semua  sih jancuk  sih anjing  sih siluman monyet haha satu hati sama sama maling,anger
ku   mengamuk bacakan komen warganet  mahabenar  lord  habis pikir komen macam begini  bikin kasus pelecehan seksual  tenggelam     hukuman  pelaku lebih sedihnya rata rata  komen jahat  perempuan mbaq kesehatanmu loh,anger
 kesempatan  pernah hadir   membuatmu selalu merasa aman  nyaman kini jadi suatu kehormatan  pernah didapat,love
sedap kali kamu  tidur dikasur ku aku tidur kamu ikut tidur mau jadi apa kau bacanya pakai logat mamak dahlia  keluarga badak,anger
h mau  bank ramai banget  antrean tempat duduknya  diluar toko emas meluber   kelihatan mbak nya  jualan  swalayan antrean kasir naudzubilah panjang bener  bahagia semua kayaknya semoga  semoga rumah sakit sepi pasien  sembuh  pulang  berbahagia,happy
