Artist,Title songs,Popularity,label
Sammy Hagar,Rock 'N' Roll Weekend,18,0
Flo Rida,Good Feeling,77,0
Endah N Rhesa,When You Love Someone,61,2
Mumford & Sons,Little Lion Man,71,4
Sum 41,Fat Lip,74,0
Billy Squier,Rock Me Tonite - 2002 Digital Remaster / 24-Bit Mastering,28,0
Fiersa Besari,April,64,2
EXO,CALL ME BABY,65,0
Faces,Stay with Me,31,0
John Denver,Rocky Mountain Suite (Cold Nights In Canada),19,2
Art Blakey & The Jazz Messengers,Sleeping Dancer Sleep On,51,3
BTS,Anpanman,71,0
Jeremih,oui,77,0
Christian Leave,Please Notice,75,2
Natasha Bedingfield,Unwritten,77,0
Neil Sedaka,I Must Be Dreaming,27,2
The Ronettes,Sleigh Ride,83,0
Rehab,Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,68,0
TOMORROW X TOGETHER,Magic,70,4
D’MASIV,Pergilah Kasih,59,1
Ten2Five,Anju Ahu,3,2
Block B,Nillili Mambo,68,0
Childish Gambino,Redbone,84,0
Kurosuke,Little Joy,43,0
TWICE,LOVE FOOLISH,59,0
TOMORROW X TOGETHER,Wishlist,61,4
Bob Seger,Like A Rock - Remastered,30,4
Garrett Hedlund,Silver Wings,42,2
Steely Dan,Reelin' In The Years,71,0
Oakwood Station,Blue Spaces,57,3
David Guetta,Say My Name - Afrojack & Chasner Remix,1,4
The Neighbourhood,Sweater Weather,90,4
Rich Brian,Sydney,55,2
Tom Petty and the Heartbreakers,So You Want To Be A Rock & Roll Star - Live At The Wiltern/1985,38,1
Foreigner,Feels Like The First Time - Live,16,1
Metallica,Enter Sandman (Remastered),74,0
Fourtwnty,Fana Merah Jambu,60,2
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Six - For The Feast Of Epiphany: No. 61 Rezitativ: ""So geht! Genug, mein Schatz geht nicht von hier""",0,2
Nirvana,The Man Who Sold The World,76,2
Music Travel Love,Hold onto Me,59,0
Bob Seger,Heavy Music - Live In Detroit/1975,38,1
Stray Kids,Easy,64,4
Galdive,Puzzle,39,0
Young Thug,Bubbly (with Drake & Travis Scott),83,0
Kim Wilde,Rockin' Around the Christmas Tree,13,0
The Band,Lonesome Suzie - Remastered,34,2
Hindia,Rumah Ke Rumah,70,3
Wolfgang Amadeus Mozart,"Clarinet Concerto in A Major, K. 622: III. Rondo (Allegro)",0,3
MKTO,Classic,85,0
Neil Diamond,"Love On The Rocks - Live At Madison Square Garden, 2008",28,1
No Doubt,Just A Girl,66,0
Pat Metheny Group,Last Train Home,56,3
MisterWives,SUPERBLOOM,72,0
Triumph,"Rock out, Roll On",24,4
NIKI,Selene,33,0
Beyoncé,Crazy In Love (feat. Jay-Z),77,0
Thomas Rhett,What’s Your Country Song,71,4
Bleu Clair,Gotta Be - Bleu Clair Remix,38,4
The Band,This Wheel's On Fire - Remastered,34,1
Måneskin,Beggin',94,0
Bad Company,Ready For Love - Live At Red Rocks,18,1
Travis Scott,90210 (feat. Kacy Hill),77,4
Ten2Five,AYAM DEN LAPEH,0,2
Joey Alexander,Giant Steps,24,3
Rich Brian,Little Prince (feat. NIKI),52,0
Dwight Yoakam,Streets of Bakersfield (with Buck Owens),22,0
The Bellamy Brothers,No Country Music for Old Men,25,0
Rihanna,Umbrella,67,0
Justin Bieber,Hold On,81,4
Lil Uzi Vert,Neon Guts (feat. Pharrell Williams),75,4
Becky G,Shower,79,4
Molly Hatchet,Tequila Sunrise,22,0
Bastille,Pompeii,74,0
Lil Peep,beamer boy,78,4
The Script,Breakeven,75,4
Nat King Cole,When I Fall In Love,63,2
Ariana Grande,"break up with your girlfriend, i'm bored",78,4
"Earth, Wind & Fire",Boogie Wonderland,76,0
Rod Stewart,Maggie May,73,2
Andra & The Backbone,Sempurna,68,2
Tory Lanez,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",80,0
Semenjana,Front Pembela Indonesia,2,4
Lobo,Rock and Roll Days - Rerecorded,30,0
*NSYNC,"Merry Christmas, Happy Holidays",73,1
Cardi B,Bodak Yellow,74,0
LouiVos,Zomer,16,4
Måneskin,MAMMAMIA,82,0
TWICE,Doughnut,61,4
Nat King Cole,Joy To The World - Remastered 1999,2,2
Eminem,Godzilla (feat. Juice WRLD),85,0
Momus,The Rape of Lucretia,2,2
Papa Roach,Scars,68,4
KANG DANIEL,PARANOIA,64,0
Slank,Intro Indonesia,16,2
Judika,Jikalau Kau Cinta,60,2
Tim McGraw,Humble And Kind,32,2
CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,80,0
BLACKPINK,Lovesick Girls,75,4
P1Harmony,Butterfly,55,0
Juicy Luicy,Lantas,73,2
Yura Yunita,Berawal Dari Tatap,61,2
Billy Idol,Rebel Yell - Remastered,24,4
BOL4,Some,76,0
Issam Alnajjar,Hadal Ahbek - R3HAB Club Remix,38,4
Randy Travis,"Forever and Ever, Amen",68,0
Payung Teduh,Berdua Saja,57,2
Paul Moretti Trio,You Go To My Head,58,3
April Wine,Rock n' Roll Is a Vicious Game,19,1
Neil Diamond,"Love On The Rocks - From ""The Jazz Singer"" Soundtrack",49,2
Survivor,Eye of the Tiger,77,0
Journey,Don't Stop Believin',82,1
Atlanta Rhythm Section,Don't Miss The Message,19,0
Jessie J,Bang Bang,79,0
Wings,Rock Show - Remastered 2014,18,1
Badfinger,Fisherman - Remastered 2010,26,2
The Cure,Friday I'm in Love,67,4
Duran Duran,Hungry Like the Wolf - 2009 Remaster,73,0
Drake,Wants and Needs (feat. Lil Baby),85,4
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Six - For The Feast Of Epiphany: No. 64 Choral: ""Nun seid ihr wohl gerochen""",0,3
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 16 Evangelist: ""Und das habt zum Zeichen""",0,2
April Wine,Wanna Rock,26,0
Dean Lewis,Waves,78,4
Michael Bublé,Have Yourself a Merry Little Christmas,60,2
Ariana Grande,goodnight n go,72,4
Norah Jones,I'll Be Home For Christmas,23,2
Rod Stewart,Day After Day,31,4
BLACKPINK,Kill This Love,77,0
Ten2Five,Ampar-Ampar Pisang,10,0
Louis Armstrong,Winter Wonderland - Single Version,57,2
Big Sean,Bounce Back,74,4
The Chainsmokers,Closer,85,0
The Doobie Brothers,"Listen to the Music - Live at The Beacon Theatre, New York, NY, 11/18/2018",22,1
Lauren Daigle,Rescue,69,2
Bob Weir,Friend Of The Devil - Live,37,1
European Jazz Trio,When Autumn Comes,56,3
Mt. Joy,Silver Lining,69,4
Nina Simone,Sinnerman,63,2
Johnny Mathis,It's Beginning to Look Like Christmas,69,2
Norah Jones,Tragedy,0,2
Just a Band,Gentlemen,9,0
Sammy Hagar,There's Only One Way To Rock,19,4
Rafi Sudirman,Goodnight,51,2
Moneybagg Yo,Time Today,75,4
Rae Sremmurd,Come Get Her,76,4
Panic! At The Disco,House of Memories,78,4
Ada Band,Masih Sahabatku Kekasihku,55,4
Homicide (Indonesia),Belati Kalam Profan - Remix,14,4
Uncle Dave Macon,Comin' Round the Mountain,31,2
Johann Sebastian Bach,"Concerto for 2 Violins in D Minor, BWV 1043: III. Allegro",1,2
Tom Petty and the Heartbreakers,Grew Up Fast,28,2
Nidji,Hapus Aku,58,0
Frédéric Chopin,"Waltzes, Op. 64: No. 1, Molto vivace in D-Flat Major ""Minute Waltz""",0,3
Jeremy Zucker,comethru,80,1
Rascal Flatts,Life is a Highway,0,0
Juice WRLD,Come & Go,2,4
John Denver,"Take Me Home, Country Roads",76,2
Ella Fitzgerald,Autumn In New York,62,2
Soul Food Horns,Black Tea,56,3
Rizky Febian,Indah Pada Waktunya,60,2
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),80,4
Frank Zappa,Uncle Remus,58,0
The Goo Goo Dolls,Iris,80,4
The Moody Blues,The Voice - Live At Red Rocks/1992,11,1
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),95,4
Avril Lavigne,Bite Me,80,0
BLACKPINK,Really,63,0
Taylor Swift,Girl At Home (Taylor's Version),79,0
"Emerson, Lake & Palmer",From the Beginning - 2015 - Remaster,57,4
Chase Atlantic,Friends,82,4
Clairo,Flaming Hot Cheetos,77,2
Joey Alexander,Under The Sun,30,3
No Doubt,Don't Speak,70,0
Halsey,Bad At Love,74,0
Dipha Barus,Keep It Hush,50,4
Bruno Mars,Silk Sonic Intro,76,1
Heidi (The Girl with the Hair),Soon Finland,52,2
Polo G,Flex (feat. Juice WRLD),77,4
Love,Stop The Music,24,2
Frédéric Chopin,"Waltzes, Op. 69: No. 1, Lento in A-Flat Major",0,3
The Macarons Project,Over The Rainbow - Strings Version,42,2
The Moody Blues,Lean On Me (Tonight) - Live At Red Rocks/1992,11,1
Clinton Kane,CHICKEN TENDIES,78,0
Juice WRLD,Bandit (with YoungBoy Never Broke Again),82,4
Hivi!,Remaja,67,2
Boz Scaggs,Rock And Stick,34,0
A Tribe Called Quest,Check the Rhime,65,0
Dean Martin,White Christmas,63,2
Bleu Clair,Amani,43,4
Michael Bublé,Jingle Bells (feat. The Puppini Sisters),73,2
Yura Yunita,Tenang,56,2
Rich Brian,DOA,49,4
Maroon 5,Payphone,4,4
MAMAMOO,Starry Night,62,2
Ne-Yo,Miss Independent,70,0
Juice WRLD,Righteous,79,4
Reality Club,You Let Her Go Again,1,4
Bad Company,Ready for Love - 2015 Remaster,20,2
Dan Fogelberg,Longer,48,2
Figure Walking,Indonesia,0,0
Steve Miller Band,Jet Airliner,66,0
BTS,Outro: Tear,64,0
Vance Joy,Missing Piece,78,0
The Jayhawks,All The Right Reasons,35,2
Flo Rida,Right Round,75,0
Gigi,11 Januari,55,4
Dustin Lynch,Thinking 'Bout You (feat. Lauren Alaina),70,0
Alice In Chains,Nutshell,71,4
Hz.,Beyond the Oak Trees,57,3
Three Dog Night,Mama Told Me (Not To Come),40,0
Young Thug,Hot (feat. Gunna),74,0
Homicide (Indonesia),Belati Kalam Profan,13,1
NGHTMRE,FEELING GUD,71,4
Rachel Platten,Fight Song,79,4
Teddy Adhitya,Why Would I Be,62,2
Bette Midler,Keep on Rockin',19,1
Smokie,Don't Play Your Rock'n'Roll to Me,36,0
Luke Bryan,Run Run Rudolph,27,0
