,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
0,Sammy Hagar,Rock 'N' Roll Weekend,32fyJa7mlop2S7uvaMtnst,18,4.554920671211245e-05,4.667773771475057e-05,9,0.0,1,4.235435133844677e-05,4.2073278241310846e-05,4.206326451551279e-05,4.249263612327707e-05,4.714928353275429e-05,0.0007845780654115,audio_features,spotify:track:32fyJa7mlop2S7uvaMtnst,https://api.spotify.com/v1/tracks/32fyJa7mlop2S7uvaMtnst,https://api.spotify.com/v1/audio-analysis/32fyJa7mlop2S7uvaMtnst,1.0,4,Soft Rock,Happy,1
1,Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,77,2.0754626617335512e-05,2.1496151141139347e-05,1,0.0,0,1.8186694951206155e-05,1.814639470534725e-05,1.7920955130012544e-05,1.914261678297936e-05,2.0665966076445925e-05,0.0005337969065241,audio_features,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/tracks/2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/audio-analysis/2LEF1A8DOZ9wRYikWgVlZ8,1.0,4,Dance,Happy,1
2,Endah N Rhesa,When You Love Someone,2XWsariqeTCH61B53r8yA3,61,3.820161857217368e-05,3.728136374050637e-05,2,0.0,1,3.64741162021678e-05,3.913659748114768e-05,3.637583865491549e-05,3.6861727537266073e-05,3.722246743127966e-05,0.000588444068542,audio_features,spotify:track:2XWsariqeTCH61B53r8yA3,https://api.spotify.com/v1/tracks/2XWsariqeTCH61B53r8yA3,https://api.spotify.com/v1/audio-analysis/2XWsariqeTCH61B53r8yA3,1.0,4,Pop Indonesia,Sad,2
3,Mumford & Sons,Little Lion Man,6JnufVNLIO5F5Lk4sEVLeI,71,3.558974287090989e-05,3.5443982831848146e-05,5,0.0,1,3.360659656167535e-05,3.361509923062061e-05,3.349653922951478e-05,3.386208151903079e-05,3.53630050323694e-05,0.0005943082170444,audio_features,spotify:track:6JnufVNLIO5F5Lk4sEVLeI,https://api.spotify.com/v1/tracks/6JnufVNLIO5F5Lk4sEVLeI,https://api.spotify.com/v1/audio-analysis/6JnufVNLIO5F5Lk4sEVLeI,1.0,4,Rock,Anger,0
4,Sum 41,Fat Lip,4KacUpvbA3Mfo05gttTjhN,74,3.15079946698368e-05,3.438000700221288e-05,9,0.0,1,3.004955090730207e-05,2.9256264079065824e-05,2.925301623699464e-05,2.9617627177628325e-05,3.276450006525133e-05,0.0011315279837634,audio_features,spotify:track:4KacUpvbA3Mfo05gttTjhN,https://api.spotify.com/v1/tracks/4KacUpvbA3Mfo05gttTjhN,https://api.spotify.com/v1/audio-analysis/4KacUpvbA3Mfo05gttTjhN,1.0,4,Rock,Happy,1
5,Billy Squier,Rock Me Tonite - 2002 Digital Remaster / 24-Bit Mastering,76zNJvuD3JtuiaWH0OdrWM,28,2.2601546155249595e-05,2.305094152655296e-05,9,0.0,0,2.1147600078017732e-05,2.112462347256764e-05,2.0962773560647104e-05,2.137162198115618e-05,2.3098246302479627e-05,0.0004500238490406,audio_features,spotify:track:76zNJvuD3JtuiaWH0OdrWM,https://api.spotify.com/v1/tracks/76zNJvuD3JtuiaWH0OdrWM,https://api.spotify.com/v1/audio-analysis/76zNJvuD3JtuiaWH0OdrWM,1.0,4,Soft Rock,Happy,1
6,Fiersa Besari,April,3IesVVqYxCsRCsz5OCmC7q,64,3.286758971678556e-05,3.312161307715292e-05,2,0.0,1,3.145605393969948e-05,3.3580371683189496e-05,3.1354823734896366e-05,3.208277127505357e-05,3.352729217505303e-05,0.0003337260332276,audio_features,spotify:track:3IesVVqYxCsRCsz5OCmC7q,https://api.spotify.com/v1/tracks/3IesVVqYxCsRCsz5OCmC7q,https://api.spotify.com/v1/audio-analysis/3IesVVqYxCsRCsz5OCmC7q,1.0,4,Pop Indonesia,Sad,2
7,EXO,CALL ME BABY,6Rx0ORYPP3GH9rTvGS5Vy8,65,1.5216890279998788e-05,1.613625394064026e-05,1,0.0,1,1.2183464098676078e-05,1.3283383199886829e-05,1.1937510624514778e-05,1.3553505512549528e-05,1.6103081025050105e-05,0.0004859784744078,audio_features,spotify:track:6Rx0ORYPP3GH9rTvGS5Vy8,https://api.spotify.com/v1/tracks/6Rx0ORYPP3GH9rTvGS5Vy8,https://api.spotify.com/v1/audio-analysis/6Rx0ORYPP3GH9rTvGS5Vy8,1.0,4,K-pop,Happy,1
8,Faces,Stay with Me,4wlhBqCmj35OXIvtQ9PBjC,31,2.4562290399620878e-05,2.6194312596491085e-05,9,0.0,1,2.3074940912778897e-05,2.3400632678704524e-05,2.3856743685690083e-05,2.339706931146245e-05,2.585222934125191e-05,0.000348073275573,audio_features,spotify:track:4wlhBqCmj35OXIvtQ9PBjC,https://api.spotify.com/v1/tracks/4wlhBqCmj35OXIvtQ9PBjC,https://api.spotify.com/v1/audio-analysis/4wlhBqCmj35OXIvtQ9PBjC,1.0,4,Country Music,Happy,1
9,John Denver,Rocky Mountain Suite (Cold Nights In Canada),6WhP0Nq9tkcSq39p6062BN,19,8.140701544912568e-05,8.024536100377581e-05,2,0.0,1,7.969669528847213e-05,8.260227146934105e-05,7.95349277066197e-05,8.016375717910247e-05,8.042776955304563e-05,0.0006454670522661,audio_features,spotify:track:6WhP0Nq9tkcSq39p6062BN,https://api.spotify.com/v1/tracks/6WhP0Nq9tkcSq39p6062BN,https://api.spotify.com/v1/audio-analysis/6WhP0Nq9tkcSq39p6062BN,1.0,3,Soft Rock,Sad,2
